
2d,16,16,16,1,62.887,0.130265,16
2d,32,32,32,1,222.707,0.29427,16
2d,32,32,32,2,414.422,0.158138,64
2d,48,48,48,1,921.204,0.240103,16
2d,48,48,48,2,351.765,0.628783,64
2d,64,64,64,1,1532.37,0.342143,16
2d,64,64,64,2,1555.36,0.337084,64
2d,64,64,64,4,3287.64,0.159473,256
2d,80,80,80,1,3902.29,0.26241,16
2d,80,80,80,2,1307.99,0.782879,64
2d,80,80,80,4,3313.17,0.309069,256
2d,96,96,96,1,12391.2,0.1428,16
2d,96,96,96,2,2635.13,0.671493,64
2d,96,96,96,4,2653.16,0.66693,256
2d,112,112,112,1,16927,0.165999,16
2d,112,112,112,2,3142.53,0.894139,64
2d,112,112,112,4,2712.25,1.03599,256
2d,128,128,128,1,21139,0.198416,16
2d,128,128,128,2,5880.2,0.713293,64
2d,128,128,128,4,12603.7,0.332782,256
2d,144,144,144,1,57123.7,0.104544,16
2d,144,144,144,2,7364.17,0.810949,64
2d,144,144,144,4,12475.3,0.478702,256
2d,160,160,160,1,69334.5,0.118152,16
2d,160,160,160,2,13590.5,0.602774,64
2d,160,160,160,4,10370.2,0.789954,256
2d,176,176,176,1,88031.1,0.12386,16
2d,176,176,176,2,14912.7,0.731161,64
2d,176,176,176,4,10166.4,1.07251,256
2d,192,192,192,2,32226,0.439266,64
2d,192,192,192,4,1.84467e+13,7.67386e-10,256
2d,208,208,208,2,34658.5,0.51929,64
2d,208,208,208,4,21944.2,0.820163,256
2d,224,224,224,2,46605,0.482327,64
2d,224,224,224,4,23702.4,0.948379,256
