2d,16,16,16,1000,0.482109,32
3d,16,16,16,10000,2.37257,32
1d,32,32,32,1000,3.03407,64
1d,48,48,48,1000,6.34128,96
1d,64,64,64,1000,8.99232,128
1d,96,96,96,1000,12.4456,192
1d,128,128,128,1000,18.3935,256
1d,32,32,32,10000,7.3169,64
1d,48,48,48,10000,11.5412,96
1d,64,64,64,10000,15.3999,128
1d,96,96,96,10000,16.3024,192
1d,128,128,128,10000,21.9661,256
