1000,16,16,16,9.728125,0.842094,0.750672,10.912895
1000,32,32,32,49.465162,1.324892,4.249813,15.420914
1000,48,48,48,169.631182,1.303911,19.870905,11.131048
1000,64,64,64,388.040102,1.351118,47.854789,10.955811
1000,96,96,96,1212.102480,1.459837,112.877620,15.676022
1000,128,128,128,2332.871774,1.797915,267.578043,15.675068
10000,16,16,16,94.707107,0.864983,7.145922,11.463881
10000,32,32,32,463.147274,1.415014,57.377399,11.421919
10000,48,48,48,1289.564826,1.715183,190.659899,11.600971
10000,64,64,64,2735.103552,1.916885,444.345866,11.799097
10000,96,96,96,5702.422964,3.103018,1058.866828,16.710997
10000,128,128,128,7128.403114,5.883932,3194.165525,13.131142
