1d,1,16,16,16,1,54.4157,32
1d,4,32,32,32,1,46.0529,32
1d,4,32,32,32,2,42.0247,64
1d,8,64,64,64,1,29.0657,32
1d,8,64,64,64,2,31.2266,64
1d,8,64,64,64,3,21.706,96
1d,8,64,64,64,4,13.227,128
1d,149,128,128,128,1,12.4688,32
1d,149,128,128,128,2,20.749,64
1d,149,128,128,128,3,39.9019,96
1d,149,128,128,128,4,26.6028,128
1d,149,128,128,128,6,28.5263,192
1d,149,128,128,128,8,14.6438,256
1d,356,192,192,192,1,7.25133,32
1d,356,192,192,192,2,13.8578,64
1d,356,192,192,192,3,20.9907,96
1d,356,192,192,192,4,22.8319,128
1d,356,192,192,192,6,21.7305,192
1d,356,192,192,192,8,24.2201,256
1d,356,192,192,192,9,18.4488,288
