1d,16,16,16,1,1,131.934,32
1d,16,16,32,1,1,157.873,32
1d,16,16,64,1,1,186.254,32
1d,16,16,16,1,2,112.373,64
1d,16,16,32,1,2,126.055,64
1d,16,16,64,1,2,145.315,64
1d,16,16,16,1,3,132,96
1d,16,16,32,1,3,158.59,96
1d,16,16,64,1,3,187.463,96
1d,16,16,16,1,4,130.137,128
1d,16,16,32,1,4,158.073,128
1d,16,16,64,1,4,188.32,128
1d,16,16,16,1,6,112.859,192
1d,16,16,32,1,6,126.122,192
1d,16,16,64,1,6,145.145,192
1d,16,16,16,1,8,132.786,256
1d,16,16,32,1,8,160.735,256
1d,16,16,64,1,8,178.286,256
1d,16,16,16,1,16,129.187,512
1d,16,16,32,1,16,163.597,512
1d,16,16,64,1,16,123.754,512
1d,32,32,16,1,1,306.388,32
1d,32,32,32,1,1,363.391,32
1d,32,32,64,1,1,399.094,32
1d,32,32,16,2,2,182.792,64
1d,32,32,32,2,2,214.281,64
1d,32,32,64,2,2,238.501,64
1d,32,32,16,2,3,183.83,96
1d,32,32,32,2,3,215.358,96
1d,32,32,64,2,3,238.518,96
1d,32,32,16,2,4,183.993,128
1d,32,32,32,2,4,215.266,128
1d,32,32,64,2,4,238.5,128
1d,32,32,16,2,6,183.808,192
1d,32,32,32,2,6,214.988,192
1d,32,32,64,2,6,237.561,192
1d,32,32,16,2,8,183.965,256
1d,32,32,32,2,8,214.763,256
1d,32,32,64,2,8,234.536,256
1d,32,32,16,2,16,184.621,512
1d,32,32,32,2,16,207.901,512
1d,32,32,64,2,16,194.95,512
1d,48,48,16,1,1,471.458,32
1d,48,48,32,1,1,410.089,32
1d,48,48,64,1,1,521.159,32
1d,48,48,16,1,2,290.335,64
1d,48,48,32,1,2,244.665,64
1d,48,48,64,1,2,288.941,64
1d,48,48,16,3,3,211.424,96
1d,48,48,32,3,3,240.931,96
1d,48,48,64,3,3,260.344,96
1d,48,48,16,3,4,211.403,128
1d,48,48,32,3,4,240.9,128
1d,48,48,64,3,4,260.267,128
1d,48,48,16,3,6,210.79,192
1d,48,48,32,3,6,239.374,192
1d,48,48,64,3,6,256.75,192
1d,48,48,16,3,8,211.363,256
1d,48,48,32,3,8,240.804,256
1d,48,48,64,3,8,260.033,256
1d,48,48,16,3,16,211.138,512
1d,48,48,32,3,16,233.634,512
1d,48,48,64,3,16,254.388,512
1d,64,64,16,1,1,562.729,32
1d,64,64,32,1,1,576.059,32
1d,64,64,64,1,1,547.844,32
1d,64,64,16,2,2,425.451,64
1d,64,64,32,2,2,465.179,64
1d,64,64,64,2,2,515.439,64
1d,64,64,16,2,3,425.3,96
1d,64,64,32,2,3,456.316,96
1d,64,64,64,2,3,472.917,96
1d,64,64,16,4,4,228.695,128
1d,64,64,32,4,4,256.38,128
1d,64,64,64,4,4,273.762,128
1d,64,64,16,4,6,228.79,192
1d,64,64,32,4,6,256.359,192
1d,64,64,64,4,6,273.636,192
1d,64,64,16,4,8,228.833,256
1d,64,64,32,4,8,256.366,256
1d,64,64,64,4,8,273.622,256
1d,64,64,16,4,16,228.844,512
1d,64,64,32,4,16,256.077,512
1d,64,64,64,4,16,272.259,512
1d,80,80,16,1,1,588.8,32
1d,80,80,32,1,1,581.849,32
1d,80,80,64,1,1,441.774,32
1d,80,80,16,1,2,300.808,64
1d,80,80,32,1,2,298.185,64
1d,80,80,64,1,2,232.697,64
1d,80,80,16,1,3,577.486,96
1d,80,80,32,1,3,428.981,96
1d,80,80,64,1,3,316.958,96
1d,80,80,16,1,4,565.27,128
1d,80,80,32,1,4,434.372,128
1d,80,80,64,1,4,317.102,128
1d,80,80,16,5,6,242.954,192
1d,80,80,32,5,6,266.671,192
1d,80,80,64,5,6,280.668,192
1d,80,80,16,5,8,242.643,256
1d,80,80,32,5,8,267.132,256
1d,80,80,64,5,8,281.815,256
1d,80,80,16,5,16,242.862,512
1d,80,80,32,5,16,267.081,512
1d,80,80,64,5,16,251.673,512
1d,96,96,16,1,1,591.842,32
1d,96,96,32,1,1,579.369,32
1d,96,96,64,1,1,432.665,32
1d,96,96,16,2,2,587.998,64
1d,96,96,32,2,2,587.03,64
1d,96,96,64,2,2,522.886,64
1d,96,96,16,3,3,473.695,96
1d,96,96,32,3,3,489.592,96
1d,96,96,64,3,3,505.764,96
1d,96,96,16,3,4,470.159,128
1d,96,96,32,3,4,489.319,128
1d,96,96,64,3,4,505.171,128
1d,96,96,16,6,6,252.085,192
1d,96,96,32,6,6,274.71,192
1d,96,96,64,6,6,288.004,192
1d,96,96,16,6,8,252.371,256
1d,96,96,32,6,8,274.754,256
1d,96,96,64,6,8,287.822,256
1d,96,96,16,6,16,252.414,512
1d,96,96,32,6,16,274.478,512
1d,96,96,64,6,16,237.913,512
1d,112,112,16,1,1,498.647,32
1d,112,112,32,1,1,438.722,32
1d,112,112,64,1,1,310.015,32
1d,112,112,16,1,2,271.358,64
1d,112,112,32,1,2,241.214,64
1d,112,112,64,1,2,249.099,64
1d,112,112,16,1,3,358.261,96
1d,112,112,32,1,3,289.759,96
1d,112,112,64,1,3,304.834,96
1d,112,112,16,1,4,361.597,128
1d,112,112,32,1,4,290.014,128
1d,112,112,64,1,4,304.957,128
1d,112,112,16,1,6,91.8808,192
1d,112,112,32,1,6,77.5791,192
1d,112,112,64,1,6,82.3615,192
1d,112,112,16,7,8,259.904,256
1d,112,112,32,7,8,280.517,256
1d,112,112,64,7,8,291.471,256
1d,112,112,16,7,16,260.534,512
1d,112,112,32,7,16,280.181,512
1d,112,112,64,7,16,265.471,512
1d,128,128,16,1,1,243.616,32
1d,128,128,32,1,1,272.538,32
1d,128,128,64,1,1,111.707,32
1d,128,128,16,2,2,573.942,64
1d,128,128,32,2,2,568.751,64
1d,128,128,64,2,2,462.548,64
1d,128,128,16,2,3,299.962,96
1d,128,128,32,2,3,305.544,96
1d,128,128,64,2,3,246.108,96
1d,128,128,16,4,4,503.591,128
1d,128,128,32,4,4,523.58,128
1d,128,128,64,4,4,533.485,128
1d,128,128,16,4,6,499.364,192
1d,128,128,32,4,6,518.731,192
1d,128,128,64,4,6,527.655,192
1d,128,128,16,8,8,266.161,256
1d,128,128,32,8,8,285.295,256
1d,128,128,64,8,8,296.096,256
1d,128,128,16,8,16,267.823,512
1d,128,128,32,8,16,285.755,512
1d,128,128,64,8,16,266.398,512
1d,144,144,16,1,1,155.434,32
1d,144,144,32,1,1,203.657,32
1d,144,144,64,1,1,75.9458,32
1d,144,144,16,1,2,151.709,64
1d,144,144,32,1,2,213.104,64
1d,144,144,64,1,2,91.5488,64
1d,144,144,16,3,3,542.831,96
1d,144,144,32,3,3,414.672,96
1d,144,144,64,3,3,391.22,96
1d,144,144,16,3,4,453.834,128
1d,144,144,32,3,4,394.249,128
1d,144,144,64,3,4,415.84,128
1d,144,144,16,3,6,449.757,192
1d,144,144,32,3,6,270.909,192
1d,144,144,64,3,6,310.881,192
1d,144,144,16,3,8,389.74,256
1d,144,144,32,3,8,270.904,256
1d,144,144,64,3,8,310.953,256
1d,144,144,16,9,16,271.746,512
1d,144,144,32,9,16,264.183,512
1d,144,144,64,9,16,261.029,512
1d,160,160,16,1,1,90.5741,32
1d,160,160,32,1,1,53.9961,32
1d,160,160,64,1,1,66.2671,32
1d,160,160,16,2,2,546.546,64
1d,160,160,32,2,2,382.346,64
1d,160,160,64,2,2,341.448,64
1d,160,160,16,2,3,303.82,96
1d,160,160,32,2,3,199.778,96
1d,160,160,64,2,3,217.531,96
1d,160,160,16,2,4,304.688,128
1d,160,160,32,2,4,199.352,128
1d,160,160,64,2,4,217.009,128
1d,160,160,16,5,6,446.386,192
1d,160,160,32,5,6,409.775,192
1d,160,160,64,5,6,434.651,192
1d,160,160,16,5,8,441.687,256
1d,160,160,32,5,8,407.343,256
1d,160,160,64,5,8,275.684,256
1d,160,160,16,10,16,274.678,512
1d,160,160,32,10,16,272.821,512
1d,160,160,64,10,16,273.695,512
1d,176,176,16,1,1,60.3575,32
1d,176,176,32,1,1,48.8223,32
1d,176,176,64,1,1,65.5535,32
1d,176,176,16,1,2,72.6056,64
1d,176,176,32,1,2,95.6391,64
1d,176,176,64,1,2,64.6359,64
1d,176,176,16,1,3,71.5064,96
1d,176,176,32,1,3,96.1375,96
1d,176,176,64,1,3,67.9325,96
1d,176,176,16,1,4,72.1565,128
1d,176,176,32,1,4,96.3497,128
1d,176,176,64,1,4,67.9863,128
1d,176,176,16,1,6,55.0501,192
1d,176,176,32,1,6,78.0394,192
1d,176,176,64,1,6,57.3726,192
1d,176,176,16,1,8,55.0181,256
1d,176,176,32,1,8,78.0877,256
1d,176,176,64,1,8,57.3689,256
1d,176,176,16,11,16,270.175,512
1d,176,176,32,11,16,267.941,512
1d,176,176,64,11,16,276.276,512
1d,192,192,16,1,1,33.0919,32
1d,192,192,32,1,1,47.909,32
1d,192,192,64,1,1,65.9793,32
1d,192,192,16,2,2,197.579,64
1d,192,192,32,2,2,340.179,64
1d,192,192,64,2,2,97.3539,64
1d,192,192,16,3,3,456.208,96
1d,192,192,32,3,3,356.944,96
1d,192,192,64,3,3,352.003,96
1d,192,192,16,4,4,578.442,128
1d,192,192,32,4,4,574.888,128
1d,192,192,64,4,4,520.533,128
1d,192,192,16,6,6,481.044,192
1d,192,192,32,6,6,506.889,192
1d,192,192,64,6,6,333.316,192
1d,192,192,16,6,8,424.03,256
1d,192,192,32,6,8,390.637,256
1d,192,192,64,6,8,333.302,256
1d,192,192,16,12,16,279.581,512
1d,192,192,32,12,16,279.665,512
1d,192,192,64,12,16,278.524,512
1d,208,208,16,1,1,28.2106,32
1d,208,208,32,1,1,48.1362,32
1d,208,208,64,1,1,66.251,32
1d,208,208,16,1,2,58.2791,64
1d,208,208,32,1,2,62.0442,64
1d,208,208,64,1,2,47.8931,64
1d,208,208,16,1,3,62.1373,96
1d,208,208,32,1,3,67.6234,96
1d,208,208,64,1,3,46.9419,96
1d,208,208,16,1,4,61.5204,128
1d,208,208,32,1,4,65.6819,128
1d,208,208,64,1,4,48.9004,128
1d,208,208,16,1,6,54.3848,192
1d,208,208,32,1,6,75.4597,192
1d,208,208,64,1,6,58.336,192
1d,208,208,16,1,8,54.3186,256
1d,208,208,32,1,8,75.4464,256
1d,208,208,64,1,8,58.345,256
1d,208,208,16,13,16,252.216,512
1d,208,208,32,13,16,272.658,512
1d,208,208,64,13,16,282.514,512
1d,224,224,16,1,1,26.1987,32
1d,224,224,32,1,1,40.6589,32
1d,224,224,64,1,1,63.5832,32
1d,224,224,16,2,2,126.23,64
