
3d,16,16,16,1,1,156.556,32
3d,16,16,16,1,2,130.847,64
3d,16,16,16,1,3,155.345,96
3d,16,16,16,1,4,156.644,128
3d,16,16,16,1,8,157.692,256
3d,16,16,16,1,16,158.27,512
3d,32,32,32,1,1,391.593,32
3d,32,32,32,1,2,251.935,64
3d,32,32,32,1,3,390.227,96
3d,32,32,32,1,4,377.585,128
3d,32,32,32,1,8,318.834,256
3d,32,32,32,1,16,80.4856,512
3d,48,48,48,1,1,438.801,32
3d,48,48,48,1,2,233.301,64
3d,48,48,48,1,3,431.296,96
3d,48,48,48,1,4,391.771,128
3d,48,48,48,1,8,99.2944,256
3d,64,64,64,1,1,147.206,32
3d,64,64,64,1,2,139.654,64
3d,64,64,64,1,3,146.084,96
3d,64,64,64,1,4,146.017,128
3d,64,64,64,2,8,448.985,256
3d,64,64,64,2,16,435.035,512
3d,80,80,80,1,1,109.74,32
3d,80,80,80,1,2,107.065,64
3d,80,80,80,1,3,109.019,96
3d,80,80,80,1,4,108.983,128
3d,80,80,80,1,8,51.4338,256
3d,96,96,96,1,1,89.0581,32
3d,96,96,96,1,2,88.7788,64
3d,96,96,96,1,3,88.9948,96
3d,96,96,96,1,4,89.0453,128
3d,96,96,96,1,8,60.0798,256
3d,112,112,112,1,1,87.1275,32
3d,112,112,112,1,2,87.0258,64
3d,112,112,112,1,3,87.0812,96
3d,112,112,112,1,4,87.0716,128
3d,112,112,112,1,8,59.5599,256
3d,128,128,128,1,1,43.2953,32
3d,128,128,128,1,2,43.2682,64
3d,128,128,128,1,3,43.29,96
3d,128,128,128,1,4,43.2811,128
3d,128,128,128,2,8,404.251,256
3d,144,144,144,1,1,43.6373,32
3d,144,144,144,1,2,43.6326,64
3d,144,144,144,1,3,43.6592,96
3d,144,144,144,1,4,43.6352,128
3d,144,144,144,1,8,43.642,256
3d,192,192,192,2,8,148.858,256
